Q20,Q30,EHFB,HFBROT
34400.0,48000.0,-1774.250322,-1778.914809
34400.0,54000.0,-1771.933968,-1776.591162
34400.0,60000.0,-1769.933528,-1774.590872
35200.0,0.0,-1766.262114,-1770.927324
35200.0,6000.0,-1767.982372,-1772.704539
35200.0,12000.0,-1770.06398,-1774.795162
35200.0,18000.0,-1772.521304,-1777.24147
35200.0,24000.0,-1775.590855,-1780.260272
35200.0,30000.0,-1778.949224,-1783.541084
35200.0,36000.0,-1780.585466,-1785.220983
35200.0,42000.0,-1779.28329,-1783.949709
35200.0,48000.0,-1776.645521,-1781.311967
35200.0,54000.0,-1774.288753,-1778.948081
35200.0,60000.0,-1772.203524,-1776.863171
36000.0,0.0,-1767.879239,-1772.550467
36000.0,6000.0,-1769.53843,-1774.262252
36000.0,12000.0,-1771.521735,-1776.253633
36000.0,18000.0,-1773.840339,-1778.561362
36000.0,24000.0,-1776.6604,-1781.34757
36000.0,30000.0,-1779.991959,-1784.602901
36000.0,36000.0,-1782.126059,-1786.733913
36000.0,42000.0,-1781.445578,-1786.106099
36000.0,48000.0,-1778.989297,-1783.657259
36000.0,54000.0,-1776.585221,-1781.247563
36000.0,60000.0,-1774.460922,-1779.120755
36800.0,0.0,-1769.443545,-1774.120426
36800.0,6000.0,-1771.047639,-1775.768035
36800.0,12000.0,-1772.948347,-1777.678693
36800.0,18000.0,-1775.14124,-1779.864378
36800.0,24000.0,-1777.749469,-1782.44728
36800.0,30000.0,-1780.959137,-1785.586391
36800.0,36000.0,-1783.389681,-1787.968863
36800.0,42000.0,-1783.43163,-1788.086113
36800.0,48000.0,-1781.279984,-1785.948583
36800.0,54000.0,-1778.838105,-1783.502656
36800.0,60000.0,-1776.679264,-1781.339236
37600.0,0.0,-1770.958425,-1775.641973
37600.0,6000.0,-1772.510379,-1777.230375
37600.0,12000.0,-1774.333027,-1779.064281
37600.0,18000.0,-1776.407962,-1781.13232
37600.0,24000.0,-1778.847308,-1783.55163
37600.0,30000.0,-1781.862405,-1786.506376
37600.0,36000.0,-1784.49461,-1789.078028
37600.0,42000.0,-1785.242665,-1789.889928
37600.0,48000.0,-1783.516899,-1788.184954
37600.0,54000.0,-1781.040338,-1785.707103
37600.0,60000.0,-1778.846498,-1783.507432
38400.0,0.0,-1772.427074,-1777.116366
38400.0,6000.0,-1773.932625,-1778.65255
38400.0,12000.0,-1775.67509,-1780.405522
38400.0,18000.0,-1777.655731,-1782.380735
38400.0,24000.0,-1779.940383,-1784.649801
38400.0,30000.0,-1782.714185,-1787.374179
38400.0,36000.0,-1785.494561,-1790.090523
38400.0,42000.0,-1786.877854,-1791.516266
38400.0,48000.0,-1785.620587,-1790.285405
38400.0,54000.0,-1783.193399,-1787.861267
38400.0,60000.0,-1780.960297,-1785.623092
