   Q20	    Q22	  pairing    E_HFB         E_ZPE     B2020      B2222       Bpairpair   B2022       B20pair     B22pair       \Delta_n    \Delta_p  	
   23.00    0.00   40.00   -1800.090       4.843    0.006847    0.012027    0.000263    0.000000   -0.000472    0.000000       1.519       1.538
   23.00    0.00   41.00   -1799.934       4.855    0.006750    0.011862    0.000263    0.000000   -0.000451    0.000000       1.534       1.550
   23.00    0.00   42.00   -1799.774       4.866    0.006661    0.011703    0.000261    0.000000   -0.000433    0.000000       1.548       1.562
   23.00    0.00   43.00   -1799.609       4.876    0.006579    0.011550    0.000258    0.000000   -0.000415    0.000000       1.562       1.575
   23.00    0.00   44.00   -1799.439       4.887    0.006504    0.011402    0.000253    0.000000   -0.000398    0.000000       1.576       1.587
   23.00    0.00   45.00   -1799.266       4.896    0.006435    0.011259    0.000247    0.000000   -0.000383    0.000000       1.589       1.599
   23.00    0.00   46.00   -1799.089       4.906    0.006370    0.011121    0.000241    0.000000   -0.000368    0.000000       1.601       1.611
   23.00    0.00   47.00   -1798.907       4.915    0.006308    0.010988    0.000234    0.000000   -0.000354    0.000000       1.614       1.623
   23.00    0.00   48.00   -1798.722       4.923    0.006248    0.010858    0.000228    0.000000   -0.000340    0.000000       1.626       1.635
   23.00    0.00   49.00   -1798.532       4.932    0.006189    0.010732    0.000222    0.000000   -0.000326    0.000000       1.638       1.647
   23.00    0.00   50.00   -1798.340       4.940    0.006130    0.010609    0.000217    0.000000   -0.000313    0.000000       1.650       1.659
   23.00    0.00   51.00   -1798.143       4.949    0.006069    0.010490    0.000213    0.000000   -0.000299    0.000000       1.662       1.670
   23.00    0.00   52.00   -1797.943       4.957    0.006006    0.010372    0.000211    0.000000   -0.000286    0.000000       1.674       1.681
